no,id,자치구,CCTV_규모_2015,CCTV_규모_2020,인구_규모_2015,인구_규모_2020
6,1,종로구,1175,1729,163822,158996
11,2,중구,654,2001,134329,134635
24,3,용산구,685,2383,247909,244645
20,4,성동구,1289,3515,305065,300505
13,5,광진구,477,2556,375180,360109
2,6,동대문구,1436,2315,373824,357014
8,7,중랑구,821,3285,418620,399562
17,8,성북구,897,3754,469560,447056
7,9,강북구,270,2462,334426,311569
0,10,도봉구,434,1356,353241,327361
18,11,노원구,909,2282,578221,527032
1,12,은평구,722,3660,502578,484043
21,13,서대문구,1235,2939,323105,322952
14,14,마포구,729,2401,398351,381858
22,15,양천구,2241,3307,489010,457781
10,16,강서구,691,2437,595691,585901
5,17,구로구,1872,4075,454604,432488
4,18,금천구,619,2365,256167,247835
23,19,영등포구,1278,3773,417811,407367
3,20,동작구,993,2262,412774,401572
15,21,관악구,2004,4909,529031,509803
16,22,서초구,916,3730,451258,429025
9,23,강남구,1863,6645,581760,544055
19,24,송파구,520,2743,667480,673926
12,25,강동구,725,2547,463321,463998
