no,자치구,자치구청,위도,경도,주소
6,종로구,종로구청,37.5727864,126.9791778,대한민국 서울특별시 종로구 수송동 삼봉로 43
11,중구,중구청,37.5637584,126.9975517,대한민국 서울특별시 중구 예관동 창경궁로 17
24,용산구,용산구청,37.5325896,126.9900429,대한민국 서울특별시 용산구 이태원동 녹사평대로 150
20,성동구,성동구청,37.5630725,127.0366688,대한민국 서울특별시 성동구 행당동 고산자로 270
13,광진구,광진구청,37.5385333,127.0823772,대한민국 서울특별시 광진구 자양1동 자양로 117
2,동대문구,동대문구청,37.5744155,127.0397427,대한민국 서울특별시 동대문구 용두동 천호대로 145
8,중랑구,중랑구청,37.60656,127.092624,대한민국 서울특별시 중랑구 신내동 662
17,성북구,성북구청,37.589366,127.016743,대한민국 서울특별시 성북구 삼선동 보문로 168
7,강북구,강북구청,37.6397767,127.0255184,대한민국 서울특별시 강북구 수유동 도봉로89길 13
0,도봉구,도봉구청,37.6687735,127.047071,대한민국 서울특별시 도봉구 방학동 마들로 656
18,노원구,노원구청,37.6540471,127.0563372,대한민국 서울특별시 노원구 상계6.7동 노해로 437
1,은평구,은평구청,37.6027496,126.9292386,대한민국 서울특별시 은평구 녹번동 은평로 195
21,서대문구,서대문구청,37.5791728,126.9367815,대한민국 서울특별시 서대문구 연희동 연희로 248
14,마포구,마포구청,37.5662001,126.9016437,대한민국 서울특별시 마포구 성산2동 월드컵로 212
22,양천구,양천구청,37.5169508,126.8665644,대한민국 서울특별시 양천구 신정6동 목동동로 105
10,강서구,강서구청,37.5509103,126.8495742,대한민국 서울특별시 강서구 화곡동 화곡로 302
5,구로구,구로구청,37.4954703,126.8876391,대한민국 서울특별시 구로구 구로동 가마산로 245
4,금천구,금천구청,37.4518527,126.9020358,대한민국 서울특별시 금천구
23,영등포구,영등포구청,37.526344,126.896256,대한민국 서울특별시 영등포구 당산동3가 당산로 123
3,동작구,동작구청,37.5124298,126.9397997,대한민국 서울특별시 동작구 노량진2동 장승배기로 161
15,관악구,관악구청,37.4781285,126.9515024,대한민국 서울특별시 관악구 청룡동 관악로 145
16,서초구,서초구청,37.483574,127.032661,대한민국 서울특별시 서초구 서초2동 남부순환로 2584
9,강남구,강남구청,37.5172363,127.0473248,대한민국 서울특별시 강남구 426
19,송파구,송파구청,37.5144161,127.1060657,대한민국 서울특별시 송파구 신천동 올림픽로 326
12,강동구,강동구청,37.5302554,127.1237961,대한민국 서울특별시 강동구 성내동 성내로 25
